NUTS_ID,LEVL_CODE,CNTR_CODE,NAME_LATN,NUTS_NAME,MOUNT_TYPE,URBN_TYPE,COAST_TYPE,NAME_ENGL,NAME_FREN,ISO3_CODE,SVRG_UN,CAPT,EU_STAT,EFTA_STAT,CC_STAT,NAME_GERM,geo,geo_level,TIME_PERIOD,unit,gdp_pc_index,obs_flag,conf_status,is_eu,sample_group,log_gdp_pc_index,gdp_map_class
DK01,2,DK,Hovedstaden,Hovedstaden,,,,Denmark,Danemark,DNK,UN Member State,Copenhagen,T,F,F,Dänemark,DK01,NUTS 2,2023,PPS_HAB_EU27_2020,170,,,True,EU27,5.135798437050262,150+
DK02,2,DK,Sjælland,Sjælland,,,,Denmark,Danemark,DNK,UN Member State,Copenhagen,T,F,F,Dänemark,DK02,NUTS 2,2023,PPS_HAB_EU27_2020,89,,,True,EU27,4.48863636973214,75-99
DK03,2,DK,Syddanmark,Syddanmark,,,,Denmark,Danemark,DNK,UN Member State,Copenhagen,T,F,F,Dänemark,DK03,NUTS 2,2023,PPS_HAB_EU27_2020,109,,,True,EU27,4.6913478822291435,100-124
DK04,2,DK,Midtjylland,Midtjylland,,,,Denmark,Danemark,DNK,UN Member State,Copenhagen,T,F,F,Dänemark,DK04,NUTS 2,2023,PPS_HAB_EU27_2020,109,,,True,EU27,4.6913478822291435,100-124
DK05,2,DK,Nordjylland,Nordjylland,,,,Denmark,Danemark,DNK,UN Member State,Copenhagen,T,F,F,Dänemark,DK05,NUTS 2,2023,PPS_HAB_EU27_2020,100,,,True,EU27,4.605170185988092,100-124
EE00,2,EE,Eesti,Eesti,,,,Estonia,Estonie,EST,UN Member State,Tallinn,T,F,F,Estland,EE00,NUTS 2,2023,PPS_HAB_EU27_2020,80,,,True,EU27,4.382026634673881,75-99
EL30,2,EL,Attiki,Aττική,,,,Greece,Grèce,GRC,UN Member State,Athens,T,F,F,Griechenland,EL30,NUTS 2,2023,PPS_HAB_EU27_2020,96,p,,True,EU27,4.564348191467836,75-99
EL41,2,EL,Voreio Aigaio,Βόρειο Αιγαίο,,,,Greece,Grèce,GRC,UN Member State,Athens,T,F,F,Griechenland,EL41,NUTS 2,2023,PPS_HAB_EU27_2020,42,p,,True,EU27,3.7376696182833684,<50
EL42,2,EL,Notio Aigaio,Νότιο Αιγαίο,,,,Greece,Grèce,GRC,UN Member State,Athens,T,F,F,Griechenland,EL42,NUTS 2,2023,PPS_HAB_EU27_2020,69,p,,True,EU27,4.23410650459726,50-74
EL43,2,EL,Kriti,Κρήτη,,,,Greece,Grèce,GRC,UN Member State,Athens,T,F,F,Griechenland,EL43,NUTS 2,2023,PPS_HAB_EU27_2020,59,p,,True,EU27,4.07753744390572,50-74
EL51,2,EL,"Anatoliki Makedonia, Thraki","Aνατολική Μακεδονία, Θράκη",,,,Greece,Grèce,GRC,UN Member State,Athens,T,F,F,Griechenland,EL51,NUTS 2,2023,PPS_HAB_EU27_2020,44,p,,True,EU27,3.784189633918261,<50
EL52,2,EL,Kentriki Makedonia,Κεντρική Μακεδονία,,,,Greece,Grèce,GRC,UN Member State,Athens,T,F,F,Griechenland,EL52,NUTS 2,2023,PPS_HAB_EU27_2020,55,p,,True,EU27,4.007333185232471,50-74
EL53,2,EL,Dytiki Makedonia,Δυτική Μακεδονία,,,,Greece,Grèce,GRC,UN Member State,Athens,T,F,F,Griechenland,EL53,NUTS 2,2023,PPS_HAB_EU27_2020,50,p,,True,EU27,3.912023005428146,50-74
EL54,2,EL,Ipeiros,Ήπειρος,,,,Greece,Grèce,GRC,UN Member State,Athens,T,F,F,Griechenland,EL54,NUTS 2,2023,PPS_HAB_EU27_2020,44,p,,True,EU27,3.784189633918261,<50
EL61,2,EL,Thessalia,Θεσσαλία,,,,Greece,Grèce,GRC,UN Member State,Athens,T,F,F,Griechenland,EL61,NUTS 2,2023,PPS_HAB_EU27_2020,52,p,,True,EU27,3.9512437185814275,50-74
EL62,2,EL,Ionia Nisia,Ιόνια Νησιά,,,,Greece,Grèce,GRC,UN Member State,Athens,T,F,F,Griechenland,EL62,NUTS 2,2023,PPS_HAB_EU27_2020,63,p,,True,EU27,4.143134726391533,50-74
EL63,2,EL,Dytiki Elláda,Δυτική Ελλάδα,,,,Greece,Grèce,GRC,UN Member State,Athens,T,F,F,Griechenland,EL63,NUTS 2,2023,PPS_HAB_EU27_2020,49,p,,True,EU27,3.8918202981106265,<50
EL64,2,EL,Sterea Elláda,Στερεά Ελλάδα,,,,Greece,Grèce,GRC,UN Member State,Athens,T,F,F,Griechenland,EL64,NUTS 2,2023,PPS_HAB_EU27_2020,59,p,,True,EU27,4.07753744390572,50-74
EL65,2,EL,Peloponnisos,Πελοπόννησος,,,,Greece,Grèce,GRC,UN Member State,Athens,T,F,F,Griechenland,EL65,NUTS 2,2023,PPS_HAB_EU27_2020,57,p,,True,EU27,4.04305126783455,50-74
ES11,2,ES,Galicia,Galicia,,,,Spain,Espagne,ESP,UN Member State,Madrid,T,F,F,Spanien,ES11,NUTS 2,2023,PPS_HAB_EU27_2020,84,p,,True,EU27,4.430816798843313,75-99
ES12,2,ES,Principado de Asturias,Principado de Asturias,,,,Spain,Espagne,ESP,UN Member State,Madrid,T,F,F,Spanien,ES12,NUTS 2,2023,PPS_HAB_EU27_2020,82,p,,True,EU27,4.406719247264253,75-99
ES13,2,ES,Cantabria,Cantabria,,,,Spain,Espagne,ESP,UN Member State,Madrid,T,F,F,Spanien,ES13,NUTS 2,2023,PPS_HAB_EU27_2020,83,p,,True,EU27,4.418840607796598,75-99
ES21,2,ES,País Vasco,País Vasco,,,,Spain,Espagne,ESP,UN Member State,Madrid,T,F,F,Spanien,ES21,NUTS 2,2023,PPS_HAB_EU27_2020,114,p,,True,EU27,4.736198448394496,100-124
ES22,2,ES,Comunidad Foral de Navarra,Comunidad Foral de Navarra,,,,Spain,Espagne,ESP,UN Member State,Madrid,T,F,F,Spanien,ES22,NUTS 2,2023,PPS_HAB_EU27_2020,108,p,,True,EU27,4.68213122712422,100-124
ES23,2,ES,La Rioja,La Rioja,,,,Spain,Espagne,ESP,UN Member State,Madrid,T,F,F,Spanien,ES23,NUTS 2,2023,PPS_HAB_EU27_2020,95,p,,True,EU27,4.553876891600541,75-99
ES24,2,ES,Aragón,Aragón,,,,Spain,Espagne,ESP,UN Member State,Madrid,T,F,F,Spanien,ES24,NUTS 2,2023,PPS_HAB_EU27_2020,102,p,,True,EU27,4.624972813284271,100-124
ES30,2,ES,Comunidad de Madrid,Comunidad de Madrid,,,,Spain,Espagne,ESP,UN Member State,Madrid,T,F,F,Spanien,ES30,NUTS 2,2023,PPS_HAB_EU27_2020,125,p,,True,EU27,4.8283137373023015,125-149
ES41,2,ES,Castilla y León,Castilla y León,,,,Spain,Espagne,ESP,UN Member State,Madrid,T,F,F,Spanien,ES41,NUTS 2,2023,PPS_HAB_EU27_2020,86,p,,True,EU27,4.454347296253507,75-99
ES42,2,ES,Castilla-La Mancha,Castilla-La Mancha,,,,Spain,Espagne,ESP,UN Member State,Madrid,T,F,F,Spanien,ES42,NUTS 2,2023,PPS_HAB_EU27_2020,73,p,,True,EU27,4.290459441148391,50-74
ES43,2,ES,Extremadura,Extremadura,,,,Spain,Espagne,ESP,UN Member State,Madrid,T,F,F,Spanien,ES43,NUTS 2,2023,PPS_HAB_EU27_2020,70,p,,True,EU27,4.248495242049359,50-74
ES51,2,ES,Cataluña,Cataluña,,,,Spain,Espagne,ESP,UN Member State,Madrid,T,F,F,Spanien,ES51,NUTS 2,2023,PPS_HAB_EU27_2020,104,p,,True,EU27,4.6443908991413725,100-124
ES52,2,ES,Comunitat Valenciana,Comunitat Valenciana,,,,Spain,Espagne,ESP,UN Member State,Madrid,T,F,F,Spanien,ES52,NUTS 2,2023,PPS_HAB_EU27_2020,78,p,,True,EU27,4.356708826689592,75-99
