geo,geo_level,TIME_PERIOD,unit,gdp_pc_index,obs_flag,conf_status
LV00,NUTS 2,2023,PPS_HAB_EU27_2020,70,,
ME00,NUTS 2,2023,PPS_HAB_EU27_2020,52,,
MK00,NUTS 2,2023,PPS_HAB_EU27_2020,41,e,
MT00,NUTS 2,2023,PPS_HAB_EU27_2020,109,,
NL11,NUTS 2,2023,PPS_HAB_EU27_2020,120,,
NL12,NUTS 2,2023,PPS_HAB_EU27_2020,96,,
NL13,NUTS 2,2023,PPS_HAB_EU27_2020,93,,
NL21,NUTS 2,2023,PPS_HAB_EU27_2020,112,,
NL22,NUTS 2,2023,PPS_HAB_EU27_2020,110,,
NL23,NUTS 2,2023,PPS_HAB_EU27_2020,103,,
NL32,NUTS 2,2023,PPS_HAB_EU27_2020,172,,
NL34,NUTS 2,2023,PPS_HAB_EU27_2020,112,,
NL35,NUTS 2,2023,PPS_HAB_EU27_2020,157,,
NL36,NUTS 2,2023,PPS_HAB_EU27_2020,126,,
NL41,NUTS 2,2023,PPS_HAB_EU27_2020,135,,
NL42,NUTS 2,2023,PPS_HAB_EU27_2020,109,,
PL21,NUTS 2,2023,PPS_HAB_EU27_2020,69,,
PL22,NUTS 2,2023,PPS_HAB_EU27_2020,79,,
PL41,NUTS 2,2023,PPS_HAB_EU27_2020,81,,
PL42,NUTS 2,2023,PPS_HAB_EU27_2020,63,,
PL43,NUTS 2,2023,PPS_HAB_EU27_2020,61,,
PL51,NUTS 2,2023,PPS_HAB_EU27_2020,82,,
PL52,NUTS 2,2023,PPS_HAB_EU27_2020,62,,
PL61,NUTS 2,2023,PPS_HAB_EU27_2020,62,,
PL62,NUTS 2,2023,PPS_HAB_EU27_2020,54,,
PL63,NUTS 2,2023,PPS_HAB_EU27_2020,73,,
PL71,NUTS 2,2023,PPS_HAB_EU27_2020,73,,
PL72,NUTS 2,2023,PPS_HAB_EU27_2020,57,,
PL81,NUTS 2,2023,PPS_HAB_EU27_2020,53,,
PL82,NUTS 2,2023,PPS_HAB_EU27_2020,55,,
PL84,NUTS 2,2023,PPS_HAB_EU27_2020,59,,
PL91,NUTS 2,2023,PPS_HAB_EU27_2020,155,,
PL92,NUTS 2,2023,PPS_HAB_EU27_2020,70,,
PT11,NUTS 2,2023,PPS_HAB_EU27_2020,69,,
PT15,NUTS 2,2023,PPS_HAB_EU27_2020,87,,
PT19,NUTS 2,2023,PPS_HAB_EU27_2020,70,,
PT1A,NUTS 2,2023,PPS_HAB_EU27_2020,127,,
PT1B,NUTS 2,2023,PPS_HAB_EU27_2020,54,,
PT1C,NUTS 2,2023,PPS_HAB_EU27_2020,77,,
PT1D,NUTS 2,2023,PPS_HAB_EU27_2020,64,,
PT20,NUTS 2,2023,PPS_HAB_EU27_2020,71,,
PT30,NUTS 2,2023,PPS_HAB_EU27_2020,86,,
RO11,NUTS 2,2023,PPS_HAB_EU27_2020,69,,
RO12,NUTS 2,2023,PPS_HAB_EU27_2020,70,,
RO21,NUTS 2,2023,PPS_HAB_EU27_2020,47,,
RO22,NUTS 2,2023,PPS_HAB_EU27_2020,57,,
RO31,NUTS 2,2023,PPS_HAB_EU27_2020,54,,
RO32,NUTS 2,2023,PPS_HAB_EU27_2020,181,,
RO41,NUTS 2,2023,PPS_HAB_EU27_2020,59,,
RO42,NUTS 2,2023,PPS_HAB_EU27_2020,77,,
RS11,NUTS 2,2023,PPS_HAB_EU27_2020,82,p,
RS12,NUTS 2,2023,PPS_HAB_EU27_2020,46,p,
RS21,NUTS 2,2023,PPS_HAB_EU27_2020,30,p,
RS22,NUTS 2,2023,PPS_HAB_EU27_2020,35,p,
SE11,NUTS 2,2023,PPS_HAB_EU27_2020,151,,
SE12,NUTS 2,2023,PPS_HAB_EU27_2020,96,,
SE21,NUTS 2,2023,PPS_HAB_EU27_2020,95,,
SE22,NUTS 2,2023,PPS_HAB_EU27_2020,94,,
SE23,NUTS 2,2023,PPS_HAB_EU27_2020,110,,
SE31,NUTS 2,2023,PPS_HAB_EU27_2020,85,,
SE32,NUTS 2,2023,PPS_HAB_EU27_2020,95,,
SE33,NUTS 2,2023,PPS_HAB_EU27_2020,109,,
SI03,NUTS 2,2023,PPS_HAB_EU27_2020,73,,
SI04,NUTS 2,2023,PPS_HAB_EU27_2020,112,,
SK01,NUTS 2,2023,PPS_HAB_EU27_2020,151,,
SK02,NUTS 2,2023,PPS_HAB_EU27_2020,69,,
SK03,NUTS 2,2023,PPS_HAB_EU27_2020,61,,
SK04,NUTS 2,2023,PPS_HAB_EU27_2020,54,,
TR10,NUTS 2,2023,PPS_HAB_EU27_2020,108,,
TR21,NUTS 2,2023,PPS_HAB_EU27_2020,79,,
TR22,NUTS 2,2023,PPS_HAB_EU27_2020,63,,
TR31,NUTS 2,2023,PPS_HAB_EU27_2020,77,,
TR32,NUTS 2,2023,PPS_HAB_EU27_2020,58,,
TR33,NUTS 2,2023,PPS_HAB_EU27_2020,56,,
TR41,NUTS 2,2023,PPS_HAB_EU27_2020,70,,
TR42,NUTS 2,2023,PPS_HAB_EU27_2020,89,,
TR51,NUTS 2,2023,PPS_HAB_EU27_2020,104,,
TR52,NUTS 2,2023,PPS_HAB_EU27_2020,54,,
TR61,NUTS 2,2023,PPS_HAB_EU27_2020,70,,
TR62,NUTS 2,2023,PPS_HAB_EU27_2020,52,,
TR63,NUTS 2,2023,PPS_HAB_EU27_2020,40,,
TR71,NUTS 2,2023,PPS_HAB_EU27_2020,52,,
TR72,NUTS 2,2023,PPS_HAB_EU27_2020,50,,
TR81,NUTS 2,2023,PPS_HAB_EU27_2020,49,,
TR82,NUTS 2,2023,PPS_HAB_EU27_2020,51,,
TR83,NUTS 2,2023,PPS_HAB_EU27_2020,43,,
TR90,NUTS 2,2023,PPS_HAB_EU27_2020,41,,
TRA1,NUTS 2,2023,PPS_HAB_EU27_2020,44,,
TRA2,NUTS 2,2023,PPS_HAB_EU27_2020,32,,
TRB1,NUTS 2,2023,PPS_HAB_EU27_2020,41,,
TRB2,NUTS 2,2023,PPS_HAB_EU27_2020,28,,
TRC1,NUTS 2,2023,PPS_HAB_EU27_2020,40,,
TRC2,NUTS 2,2023,PPS_HAB_EU27_2020,26,,
TRC3,NUTS 2,2023,PPS_HAB_EU27_2020,34,,
AT,national,2023,PPS_HAB_EU27_2020,121,,
BE,national,2023,PPS_HAB_EU27_2020,118,,
BG,national,2023,PPS_HAB_EU27_2020,63,,
CY,national,2023,PPS_HAB_EU27_2020,97,,
CZ,national,2023,PPS_HAB_EU27_2020,91,,
DE,national,2023,PPS_HAB_EU27_2020,118,p,
DK,national,2023,PPS_HAB_EU27_2020,126,,
EE,national,2023,PPS_HAB_EU27_2020,80,,
EL,national,2023,PPS_HAB_EU27_2020,68,p,
ES,national,2023,PPS_HAB_EU27_2020,91,p,
FI,national,2023,PPS_HAB_EU27_2020,103,,
FR,national,2023,PPS_HAB_EU27_2020,99,p,
HR,national,2023,PPS_HAB_EU27_2020,78,,
HU,national,2023,PPS_HAB_EU27_2020,76,,
IE,national,2023,PPS_HAB_EU27_2020,218,,
IT,national,2023,PPS_HAB_EU27_2020,98,,
LT,national,2023,PPS_HAB_EU27_2020,86,,
LU,national,2023,PPS_HAB_EU27_2020,248,,
LV,national,2023,PPS_HAB_EU27_2020,70,,
ME,national,2023,PPS_HAB_EU27_2020,52,,
MK,national,2023,PPS_HAB_EU27_2020,41,e,
MT,national,2023,PPS_HAB_EU27_2020,109,,
NL,national,2023,PPS_HAB_EU27_2020,131,,
PL,national,2023,PPS_HAB_EU27_2020,77,,
PT,national,2023,PPS_HAB_EU27_2020,81,,
RO,national,2023,PPS_HAB_EU27_2020,75,,
RS,national,2023,PPS_HAB_EU27_2020,48,p,
SE,national,2023,PPS_HAB_EU27_2020,111,,
SI,national,2023,PPS_HAB_EU27_2020,91,,
