STRUCTURE,STRUCTURE_ID,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FRF2,2023,89,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FRF3,2023,73,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FRG,2023,88,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FRG0,2023,88,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FRH,2023,85,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FRH0,2023,85,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FRI,2023,85,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FRI1,2023,88,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FRI2,2023,76,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FRI3,2023,83,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FRJ,2023,84,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FRJ1,2023,78,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FRJ2,2023,90,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FRK,2023,98,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FRK1,2023,81,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FRK2,2023,102,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FRL,2023,97,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FRL0,2023,97,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FRM,2023,86,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FRM0,2023,86,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FRY,2023,58,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FRY1,2023,66,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FRY2,2023,68,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FRY3,2023,42,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FRY4,2023,64,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FRY5,2023,29,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,HR,2023,78,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,HR0,2023,78,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,HR02,2023,53,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,HR03,2023,73,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,HR05,2023,131,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,HR06,2023,66,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,HU,2023,76,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,HU1,2023,120,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,HU11,2023,164,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,HU12,2023,65,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,HU2,2023,61,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,HU21,2023,66,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,HU22,2023,67,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,HU23,2023,50,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,HU3,2023,50,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,HU31,2023,48,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,HU32,2023,49,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,HU33,2023,54,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,IE,2023,218,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,IE0,2023,218,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,IE04,2023,104,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,IE05,2023,229,,
